iter	Passed	Remaining
1151	16983	12501
1152	16997	12486
1153	17011	12471
1154	17026	12456
1155	17040	12441
1156	17054	12426
1157	17068	12411
1158	17083	12395
1159	17098	12381
1160	17112	12366
1161	17127	12351
1162	17142	12337
1163	17157	12322
1164	17171	12307
1165	17186	12292
1166	17200	12277
1167	17216	12264
1168	17232	12249
1169	17247	12235
1170	17261	12220
1171	17276	12205
1172	17290	12190
1173	17305	12176
1174	17320	12161
1175	17335	12146
1176	17350	12131
1177	17365	12117
1178	17381	12103
1179	17397	12090
1180	17412	12075
1181	17427	12060
1182	17444	12047
1183	17460	12033
1184	17474	12018
1185	17488	12002
1186	17502	11987
1187	17516	11972
1188	17531	11957
1189	17545	11942
1190	17558	11927
1191	17572	11911
1192	17587	11897
1193	17603	11882
1194	17617	11867
1195	17633	11854
1196	17647	11838
1197	17661	11823
1198	17675	11808
1199	17690	11793
1200	17704	11778
1201	17721	11765
1202	17738	11752
1203	17753	11737
1204	17770	11723
1205	17784	11709
1206	17798	11693
1207	17814	11679
1208	17828	11664
1209	17842	11649
1210	17856	11634
1211	17871	11619
1212	17887	11605
1213	17902	11591
1214	17918	11576
1215	17933	11562
1216	17950	11548
1217	17967	11535
1218	17981	11520
1219	17995	11505
1220	18009	11490
1221	18023	11474
1222	18037	11459
1223	18052	11445
1224	18067	11430
1225	18081	11414
1226	18096	11400
1227	18110	11385
1228	18125	11370
1229	18139	11355
1230	18154	11341
1231	18168	11325
1232	18182	11310
1233	18197	11295
1234	18211	11280
1235	18226	11266
1236	18241	11251
1237	18256	11237
1238	18270	11221
1239	18285	11207
1240	18301	11192
1241	18315	11177
1242	18329	11162
1243	18342	11147
1244	18358	11133
1245	18373	11118
1246	18388	11103
1247	18402	11088
1248	18417	11074
1249	18431	11059
1250	18447	11044
1251	18461	11029
1252	18475	11014
1253	18490	10999
1254	18504	10984
1255	18519	10970
1256	18533	10955
1257	18548	10940
1258	18563	10925
1259	18578	10911
1260	18592	10896
1261	18607	10881
1262	18622	10866
1263	18639	10853
1264	18654	10839
1265	18669	10824
1266	18683	10808
1267	18699	10795
1268	18714	10780
1269	18729	10765
1270	18744	10751
1271	18758	10736
1272	18773	10721
1273	18789	10707
1274	18804	10692
1275	18818	10677
1276	18832	10662
1277	18846	10647
1278	18860	10632
1279	18874	10616
1280	18888	10601
1281	18902	10586
1282	18917	10572
1283	18931	10557
1284	18946	10542
1285	18962	10528
1286	18977	10513
1287	18991	10498
1288	19005	10483
1289	19022	10469
1290	19038	10455
1291	19053	10440
1292	19067	10426
1293	19083	10411
1294	19098	10397
1295	19113	10382
1296	19131	10369
1297	19145	10354
1298	19160	10339
1299	19174	10324
1300	19190	10310
1301	19207	10296
1302	19221	10281
1303	19236	10267
1304	19249	10251
1305	19264	10237
1306	19279	10222
1307	19293	10207
1308	19308	10192
1309	19321	10176
1310	19335	10161
1311	19350	10147
1312	19366	10133
1313	19380	10118
1314	19395	10103
1315	19409	10088
1316	19423	10073
1317	19438	10058
1318	19453	10043
1319	19468	10029
1320	19484	10014
1321	19498	9999
1322	19512	9985
1323	19526	9969
1324	19541	9955
1325	19556	9940
1326	19571	9925
1327	19586	9911
1328	19600	9896
1329	19615	9881
1330	19630	9867
1331	19645	9852
1332	19660	9837
1333	19675	9822
1334	19689	9807
1335	19703	9792
1336	19719	9778
1337	19735	9764
1338	19751	9750
1339	19767	9736
1340	19781	9721
1341	19796	9706
1342	19811	9691
1343	19825	9676
1344	19840	9662
1345	19856	9648
1346	19871	9633
1347	19887	9619
1348	19901	9604
1349	19916	9589
1350	19931	9574
1351	19948	9560
1352	19962	9546
1353	19977	9531
1354	19992	9516
1355	20006	9501
1356	20021	9487
1357	20037	9472
1358	20051	9457
1359	20066	9443
1360	20081	9428
1361	20095	9413
1362	20110	9398
1363	20124	9383
1364	20139	9368
1365	20153	9354
1366	20169	9339
1367	20185	9325
1368	20201	9311
1369	20215	9296
1370	20231	9281
1371	20245	9266
1372	20259	9251
1373	20273	9236
1374	20288	9221
1375	20302	9206
1376	20316	9191
1377	20330	9176
1378	20347	9163
1379	20364	9149
1380	20379	9134
1381	20395	9120
1382	20410	9105
1383	20425	9091
1384	20440	9076
1385	20455	9061
1386	20468	9046
1387	20483	9031
1388	20497	9016
1389	20510	9001
1390	20524	8985
1391	20539	8971
1392	20552	8955
1393	20566	8940
1394	20580	8925
1395	20594	8910
1396	20608	8895
1397	20623	8880
1398	20639	8866
1399	20653	8851
1400	20667	8836
1401	20682	8821
1402	20699	8808
1403	20718	8794
1404	20733	8780
1405	20747	8765
1406	20762	8750
1407	20776	8735
1408	20790	8720
1409	20805	8706
1410	20820	8691
1411	20834	8676
1412	20849	8661
1413	20864	8646
1414	20879	8631
1415	20895	8618
1416	20911	8603
1417	20928	8589
1418	20944	8575
1419	20960	8561
1420	20974	8546
1421	20989	8531
1422	21003	8516
1423	21018	8501
1424	21032	8486
1425	21047	8472
1426	21062	8457
1427	21076	8442
1428	21090	8427
1429	21104	8412
1430	21118	8397
1431	21133	8382
1432	21146	8367
1433	21161	8352
1434	21177	8338
1435	21190	8322
1436	21205	8307
1437	21218	8292
1438	21232	8277
1439	21246	8262
1440	21262	8248
1441	21277	8233
1442	21292	8219
1443	21308	8204
1444	21325	8190
1445	21341	8176
1446	21355	8161
1447	21370	8146
1448	21384	8131
1449	21398	8116
1450	21413	8101
1451	21427	8087
1452	21442	8072
1453	21457	8057
1454	21471	8042
1455	21485	8027
1456	21500	8012
1457	21515	7998
1458	21529	7983
1459	21543	7968
1460	21558	7953
1461	21573	7938
1462	21588	7924
1463	21602	7909
1464	21615	7893
1465	21630	7878
1466	21644	7864
1467	21659	7849
1468	21674	7834
1469	21688	7819
